RT	{'Частота': 19}
всу	{'Частота': 7}
центробанк	{'Частота': 5}
ДКП	{'Частота': 5}
©	{'Частота': 4}
RTД	{'Частота': 3}
ru	{'Частота': 3}
нра	{'Частота': 3}
ВконтактеTwitter	{'Частота': 2}
RussianКанал	{'Частота': 2}
Telegram	{'Частота': 2}
meRT	{'Частота': 2}
rutubeRT	{'Частота': 2}
ruМатериалы	{'Частота': 2}
ЖурналеRT	{'Частота': 2}
ДзенrssRT	{'Частота': 2}
TikTok	{'Частота': 2}
العربية	{'Частота': 2}
инотв	{'Частота': 2}
com	{'Частота': 2}
Gettyimages	{'Частота': 2}
промопрограмма	{'Частота': 2}
setka	{'Частота': 2}
media	{'Частота': 2}
ATACMS	{'Частота': 2}
Politico	{'Частота': 2}
ENG	{'Частота': 1}
DE	{'Частота': 1}
FR	{'Частота': 1}
ESP	{'Частота': 1}
RS	{'Частота': 1}
RTНа	{'Частота': 1}
спецоперация	{'Частота': 1}
госфинансы	{'Частота': 1}
цегоев	{'Частота': 1}
globallookpress	{'Частота': 1}
Vladimir	{'Частота': 1}
Baranov	{'Частота': 1}
проинфляционный	{'Частота': 1}
дезинфляция	{'Частота': 1}
CEO	{'Частота': 1}
Mind	{'Частота': 1}
Money	{'Частота': 1}
хандошко	{'Частота': 1}
Olivier	{'Частота': 1}
Le	{'Частота': 1}
Moal	{'Частота': 1}
сво	{'Частота': 1}
досанкционный	{'Частота': 1}
небыстро	{'Частота': 1}
БКС	{'Частота': 1}
Coprid	{'Частота': 1}
Ctrl	{'Частота': 1}
Enter	{'Частота': 1}
дзен	{'Частота': 1}
банкв	{'Частота': 1}
россииденьгиинфляцияроссияставка	{'Частота': 1}
цбфинансыцбценыэкономикабюджетипотекакредит	{'Частота': 1}
ATACMSКуда	{'Частота': 1}
передовойопубликовывать	{'Частота': 1}
суджеполковник	{'Частота': 1}
впередикитайский	{'Частота': 1}
рфпутин	{'Частота': 1}
годачто	{'Частота': 1}
новостейкартина	{'Частота': 1}
млн	{'Частота': 1}
авиабомба	{'Частота': 1}
приграничье	{'Частота': 1}
Fox	{'Частота': 1}
News	{'Частота': 1}
MSNBC	{'Частота': 1}
тулси	{'Частота': 1}
габбард	{'Частота': 1}
English	{'Частота': 1}
Deutsch	{'Частота': 1}
Français	{'Частота': 1}
Español	{'Частота': 1}
српский	{'Частота': 1}
RUPTLY	{'Частота': 1}
промой	{'Частота': 1}
гг	{'Частота': 1}
rt	{'Частота': 1}
роскомнадзор	{'Частота': 1}
№	{'Частота': 1}
симоньян	{'Частота': 1}
доба	{'Частота': 1}
E	{'Частота': 1}
mail	{'Частота': 1}
info	{'Частота': 1}
rttv	{'Частота': 1}
cookies	{'Частота': 1}
