Текстовый файл,"Размер, байт","Размер текста, слов (общее количество слов в тексте)",Размер словаря (количество уникальных слов в тексте),"Время обработки функцией get_dictionary, секунд"
Kamenev_Maks-Volf_2_Naemnik_RuLit_Me.txt,1392707,106493,23807,4175.743659734726
kursovaya_2_kurs_biryukov_d_m.txt,50427,3143,1698,282.2846848964691
onegin.txt,260971,23081,8546,6658.623583078384
rt.txt,20993,1562,808,178.87438201904297
Великий Андрей.Баннер  это просто - royallib.ru.txt,17295,1326,633,350.3336899280548
Машинное_обучение_вопросы_к_экзамену_январь_2024.txt,5691,332,203,36.97216534614563
моё.txt,47,4,4,1.0733051300048828
Наукометрия текст.txt,7478,538,298,66.8276252746582
хохломская роспись.txt,4061,298,233,15.904128551483154
Шпаликов Геннадий. Стихи - royallib.ru.txt,9351,856,488,153.38325881958008
